wall-hangings,plural of wall-hanging,"(wall-hanging 的复数) 壁挂, 墙帷"
wall-less,,a. 无墙壁的
wall-light,,[电] 壁灯
wall-lights,plural of wall-light,(wall-light 的复数) [电] 壁灯
wall-like,,a. 似墙的
wall-mounted,, [计]壁装式的
wall-painting,,n. 壁画
wall-paintings,plural of wall-painting,(wall-painting 的复数) n. 壁画
wall-panel,,"护墙板, 墙板"
wall-panels,plural of wall-panel,"(wall-panel 的复数) 护墙板, 墙板"
wall-paper,,壁纸；糊墙纸
wall-paperer,,[网络] 壁纸
wall-papers,plural of wall-paper,(wall-paper 的复数) 壁纸；糊墙纸
wall-plate,,[医] 低压电流机
wall-plates,plural of wall-plate,(wall-plate 的复数) [医] 低压电流机
wall-sconce,,壁灯
wall-sconces,plural of wall-sconce,(wall-sconce 的复数) 壁灯
wall-to-wall,,"a. 铺满整个地板的, 无处不在的"
wall-to-wall inventory,,[经] 全面盘存
wall-type heat exchange,,[化] 间壁式换热
wall-type heat exchanger,,[化] 间壁式换热器
wall-washer,,n. 撑墙支架板
wall-washers,plural of wall-washer,(wall-washer 的复数) n. 撑墙支架板
walla,,n. 经办业务人；要人（等于wallah）
Walla Walla,,[网络] 沃拉沃拉；瓦拉瓦拉；瓦拉市
wallabies,pl.  of Wallaby,n. 沙袋鼠( wallaby的名词复数 ); <口>澳洲土人（尤指女人）
wallaby,n. any of various small or medium-sized kangaroos; often brightly colored,"n. 沙袋鼠, 澳大利亚人"
wallace,n. Scottish insurgent who led the resistance to Edward I; in 1297 he gained control of Scotland briefly until Edward invaded Scotland again and defeated Wallace and subsequently executed him (1270-1305)\nn. English writer noted for his crime novels (1875-1932)\nn. English naturalist who formulated a concept of evolution that resembled Charles Darwin's (1823-1913),n. 华莱士（男子名）
Wallace add tree,,[计] 华莱士加法树
Wallace Carothers,,[网络] 华莱士·卡罗瑟斯；斯博士；卡罗德斯
Wallace Hume Carothers,,[网络] 卡罗瑟斯；卡罗泽；卡罗塞斯
Wallace Stevens,,华莱士·史蒂文斯
Wallace-Diarmond's methods,,[医] 瓦-戴二氏法(检尿胆素原)
Wallaceism,,n. 华莱士主义(尤指20世纪60年代拥护南部诸州州权、 反对联邦政府取消种族隔离)
Wallach,,"瓦拉赫(①姓氏 ②Otto, 1847-1931, 德国化学家, 曾获1910年诺贝尔化学奖)"
wallach transformation,,[机] 瓦拉赫转变
Wallachia,,瓦拉几亚[罗马尼亚南部一地区]
wallachian,," 瓦拉几亚的, 瓦拉几亚人（语）的"
wallachians,plural of wallachian,"(wallachian 的复数)  瓦拉几亚的, 瓦拉几亚人（语）的"
Wallachs,plural of Wallach,"(Wallach 的复数) 瓦拉赫(①姓氏 ②Otto, 1847-1931, 德国化学家, 曾获1910年诺贝尔化学奖)"
wallack,, [人名] 沃勒克
wallah,n. usually in combination: person in charge of or employed at a particular thing,"n. 要人, 经办业务人"
wallahs,plural of wallah\nn. usually in combination: person in charge of or employed at a particular thing,"(wallah 的复数) n.要人, 经办业务人"
wallander,,n. (Wallander)人名；(瑞典、芬)瓦兰德；(英)沃兰德
wallaroo,"n. Any one of several species of kangaroos of the genus\n   Macropus, especially M. robustus, sometimes called the great wallaroo.",n. 岩大袋鼠
wallas,plural of walla,(walla 的复数) n. 经办业务人；要人（等于wallah）
Wallasey,,沃拉西[英国英格兰西北部港市]
wallbanger,,n. [亦作 W-]<美>(搀意大利利口酒的)伏特加橙汁鸡尾酒
wallbars,, [医]杆
wallboard,n. a wide flat board used to cover walls or partitions; made from plaster or wood pulp or other materials and used primarily to form the interior walls of houses,n. (护)墙板
wallchart,,n. 挂图
wallcharts,plural of wallchart,(wallchart 的复数) n. 挂图
wallcovering,,"n. 墙面涂料,壁面涂料"
wallcoverings,plural of wallcovering,"(wallcovering 的复数) n.墙面涂料,壁面涂料"
walldorf,, [地名] [德国] 瓦尔多夫
walle,, [人名] 沃尔; [地名] [德国] 瓦勒
walled,v surround with a wall in order to fortify,a. 有城墙的
wallen,, [人名] 沃伦
wallenberg,,n. (Wallenberg)人名；(瑞典)瓦伦贝里；(德)瓦伦贝格
Wallenberg bundle,,[医] 前脑内侧束
Wallenberg's syndrome,,"[医] 瓦伦伯格氏综合征, 巴-纳二氏综合征"
wallender,, [人名] 沃伦德
wallendorf,, [地名] [德国] 瓦伦多夫
Wallenstein,n. Austrian general who fought for the Hapsburgs during the Thirty Years' War (1583-1634),n. 华伦斯坦
waller,n. United States jazz musician (1904-1943),n. 石垛工；煤矿井下充填工
Waller's law,,"[医] 华勒氏定律(在神经节中枢侧切断脊神经根感觉纤维,则中枢段退变)"
Wallerian degeneration," A form of degeneration occurring in nerve\n   fibers as a result of their division; -- so called from Dr. Waller, who\n   published an account of it in 1850.",[医] 华勒氏变性(断离神经纤维的脂肪变性)
Wallerian law,,"[医] 华勒氏定律(在神经节中枢侧切断脊神经根感觉纤维,则中枢段变性)"
wallerite,,墨铜矿
Wallerstein,,n. (Wallerstein)人名；(德、匈、瑞典)瓦勒施泰因；(英)沃勒斯坦\n沃勒斯坦
wallet,n. a pocket-size case for holding papers and paper money,"n. 皮夹\n[法] 皮包, 皮夹, 钱袋"
wallet stomach,,[医] 袋形胃
wallet threat,"is the reluctant act of pulling ones wallet out as a sign of willingness to pay for a meal you assumed was a treat.\n> ""Mike, put that thing away, dinner is on me tonight.""\n> ""But it's so expensive.""\n> ""Dude, seriously, chill out with the wallet threat.\n",
wallets,n. a pocket-size case for holding papers and paper money,n. （放钞票、信用卡的）钱夹( wallet的复数形式 ); 皮夹; （携带文件用的）皮夹; 塑料夹
walley,, [人名] [英格兰人姓氏] 沃利 Whalley的变体
walleye,n. strabismus in which one or both eyes are directed outward\nn. pike-like freshwater perches,"n. 角膜白斑, 白眼, 散开性斜视\n[医] 角膜白斑, 散开性斜视, 外斜视"
walleye pollack,, 明太鱼
walleyed,a. having divergent strabismus,"a. 患散开性斜视的, 激动得睁大眼睛的\n[医] 外斜的"
walleyed pike,,na. 【动】大眼鰤鲈\n[网络] 鼓眼鱼
wallflower,n. any of numerous plants of the genus Erysimum having fragrant yellow or orange or brownish flowers\nn. perennial of southern Europe having clusters of fragrant flowers of all colors especially yellow and orange; often naturalized on old walls or cliffs; sometimes placed in genus Erysimum\nn. remains on sidelines at social event,"n. [植]桂足香,桂香香水, 局外人"
wallflowers,n. any of numerous plants of the genus Erysimum having fragrant yellow or orange or brownish flowers\nn. perennial of southern Europe having clusters of fragrant flowers of all colors especially yellow and orange; often naturalized on old walls or cliffs; sometimes placed in genus Erysimum\nn. remains on sidelines at social event,"n. 桂足香, 桂香香水, 局外人( wallflower的复数形式 )"
wallful,,n. 一墙面的量；墙面面积
wallfuls,plural of wallful,(wallful 的复数) n. 一墙面的量；墙面面积
wallgren,, [人名] 沃尔格伦
wallhanging,,"n. 壁毯, 壁布"
Wallhauser-Whitehead's method,,[医] 瓦-怀二氏法(治何杰金氏病)
wallich,, [人名] 沃利克
wallies,n. a silly and inept person; someone who is regarded as stupid,"n. 笨蛋, 废物( wally的复数形式 )"
wallin,, [人名] 沃林
walling,v surround with a wall in order to fortify,n. 砌墙；墙壁
wallinger,, [人名] 沃林格
Wallingford,,n. 瓦林福德（美国一城镇）
Wallington,,n. (Wallington)人名；(英)沃林顿
wallis,,n. 沃利斯（姓氏）
Wallis Warfield Simpson,,[网络] 辛普森；华莉丝辛普森；不爱江山爱美人
Wallis Warfield Windsor,,[网络] 瓦利斯·温菲尔德温莎
wallison,, [人名] 沃利森
wallkill,, [地名] [美国] 沃尔基尔
wallless,,a. 无墙壁的
wallman,, [人名] [英格兰人姓氏] 沃尔曼 Wall的变体
wallner,, [人名] 沃尔纳
wallnewspaper,,n. 墙报
wallnewspapers,,n. 墙报
Wallonian,,"n. & adj.瓦龙语(的),瓦龙人(的)"
walloon,n. a member of the French-speaking people living in Belgium\nn. a dialect of French spoken in Belgium and adjacent parts of France,n. 瓦龙人[语]\na. 瓦龙人[语]的
walloons,"n. pl. A Romanic people inhabiting that part of Belgium\n   which comprises the provinces of Hainaut, Namur, Liege, and Luxembourg,\n   and about one third of Brabant; also, the language spoken by this\n   people. Used also adjectively.",a. 窝龙人的；窝龙语的\nn. 窝龙人；窝龙语
wallop,n. a severe blow\nv. defeat soundly and utterly,"vi. 乱窜, 猛冲\nvt. 猛击, 击溃\nn. 重击, 冲击力, 快感"
walloped,imp. & p. p. of Wallop,"v. 猛击, 击败( wallop的过去式和过去分词 ); 冲过去; 打滚; 颠簸"
walloper,n. a very hard hitter\nn. a winner by a wide margin,"n. 痛殴者, 猛击者"
walloping,n a sound defeat\nv hit hard\nv defeat soundly and utterly\ns (used informally) very large,"a. 大的, 极大的, 极好的\nadv. 极其, 非常地"
wallops,n a forceful consequence; a strong effect\nn a severe blow\nv hit hard\nv defeat soundly and utterly,"n. 猛击( wallop的名词复数 ); 冲击力; 奔驰; 快感\nv. 猛击, 击败( wallop的第三人称单数 ); 冲过去; 打滚; 颠簸"
wallow,"n. a puddle where animals go to wallow\nn. an indolent or clumsy rolling about\nv. devote oneself entirely to something; indulge in to an immoderate degree, usually with pleasure\nv. roll around, ""pigs were wallowing in the mud""","vi. 打滚, 沉迷, 颠簸\nn. 打滚, 泥坑, 堕落"
wallow in,,沉湎于
wallow in money,,腰缠万贯.
wallowa,, [地名] [美国] 瓦洛厄
wallowed,imp. & p. p. of Wallow,v. <喻>沉迷( wallow的过去式和过去分词 ); 热中于; 在海浪中颠簸; 快活地在泥沼中打滚
wallower,"n. One who, or that which, wallows.\nn. A lantern wheel; a trundle.",n. 打滚者；沉溺者；纵乐者
wallowing,"v devote oneself entirely to something; indulge in to an immoderate degree, usually with pleasure\nv roll around, ""pigs were wallowing in the mud""\nv rise up as if in waves\nv be ecstatic with joy\nv delight greatly in",n. 打滚
wallowings,"plural of wallowing\nv devote oneself entirely to something; indulge in to an immoderate degree, usually with pleasure\nv roll around, ""pigs were wallowing in the mud""\nv rise up as if in waves\nv be ecstatic with joy\nv delight greatly in",(wallowing 的复数) n. 打滚
wallows,"n a puddle where animals go to wallow\nn an indolent or clumsy rolling about\nv devote oneself entirely to something; indulge in to an immoderate degree, usually with pleasure\nv roll around, ""pigs were wallowing in the mud""\nv rise up as if in waves\nv be ecstatic with joy\nv delight greatly in",v. <喻>沉迷( wallow的第三人称单数 ); 热中于; 在海浪中颠簸; 快活地在泥沼中打滚
wallpaper,n. a decorative paper for the walls of rooms\nv. cover with wallpaper,"n. 壁纸, 墙纸\nv. 贴墙纸\n[计] 壁纸"
wallpapered,v cover with wallpaper,v. 往 （屋里墙上）贴壁纸( wallpaper的过去式和过去分词 )
wallpaperer,,[网络] 壁炉
wallpapering,v cover with wallpaper,v. 往 （屋里墙上）贴壁纸( wallpaper的现在分词 )
wallpapers,n a decorative paper for the walls of rooms\nv cover with wallpaper,"n. 壁纸, 墙纸( wallpaper的名词复数 )\nv. 往 （屋里墙上）贴壁纸( wallpaper的第三人称单数 )"
wallpiece,,n. 舷炮
wallplate,, 平巷靠壁纵向棚子
wallplates,plural of wallplate,(wallplate 的复数)  平巷靠壁纵向棚子
walls,n an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure\nn anything that suggests a wall in structure or function or effect\nn (anatomy) a layer (a lining or membrane) that encloses a structure\nn a difficult or awkward situation\nn a vertical (or almost vertical) smooth rock face (as of a cave or mountain)\nn a layer of material that encloses space\nn a masonry fence (as around an estate or garden)\nn an embankment built around a space for defensive purposes\nv surround with a wall in order to fortify,n. 墙壁；墙体（wall的复数）
Walls have ears,,隔墙有耳
Wallsend,,沃尔森德[英国英格兰东北部城市]
walltube,,墙上进线导管
wallula,, [地名] [美国] 瓦卢拉
wallwasher,,n. (照明墙面的)墙照明装置
wallwashers,plural of wallwasher,(wallwasher 的复数) n.(照明墙面的)墙照明装置
wallwork,, [人名] 沃尔沃克
wallwort,"n. The dwarf elder, or danewort (Sambucus Ebulus).", 墙上植物
wally,n. a silly and inept person; someone who is regarded as stupid,"a. 好的, 第一流的, 大的"
wallydrag,,弱小的动物[人]
wallydraigle,,n. =wallydrag
walmart,, 沃尔玛（世界连锁零售企业）
WalMart Tax,"The amount of money American taxpayers have pay to cover the taxes [Walmart] avoids. This term also applies to the increased drain on taxpayer funded programs by underpaid and uninsured Walmart employees.\r\nWalmart sets up stores in buildings they ""rent"" from their own shell companies. They pay ""rent"" to themselves, then deduct it from their taxes. This [money grubbing scum] scheme helped Walmart avoid $3.39 Billion in state taxes from 1999-2005.\n\nAlso taxpayers will pay $9.1 Billion over the next 5 years to cover Walmart employee health care costs. They have almost 800,000 workers without health care coverage. Many of Walmart's employees are forced to use Medicaid or just show up at an emergancy room. This kind of bullshit taxes us all by increasing the cost of healthcare for all of us!\n> The Walmart tax hurts the whole economy and helps keep them rich while shifting the costs to the people. Their [Pro-China] attitude towards merchandise hurts American jobs and their heinous tax avoidance schemes also hurt America's bottom line! Here's the real cost of the WalMart Tax-- If WalMart paid all of the taxes they owed in 2005: 318,440 uninsured children would have health coverage; 21,963 elementary school students would have new classrooms; and 9,499 additional police officers could be patrolling our streets! ""SAVE MONEY--LIVE BETTER,"" obviously this doesn't really apply to the shoppers only to the Walmart corporation!\n> See ""Friendly Landlord: Wal-mart Cuts Taxes by Paying Rent to Itself"" by Jesse Drucker (Wall street Journal 2-1-07) and ""America Pays, Wal-mart Saves: The Growing Cost of the Wal-mart Health care Crisis"" at wakeupwalmart.com\n",
Walmartized,"cd's usually rap or hip-hop that have been censored to remove profanity or other objectionable material\n> Whenever I buy a cd I always make sure its got the parental warning label on it , I don't want anything thats been Walmartized\n",
walmer,, [人名] 沃默; [地名] [南非共和国、英国] 沃尔默
Walmsley,,沃姆斯利(姓氏)
walmstedtite,,铁菱镁矿
waln,, [人名] 沃恩
walnut,n. nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell\nn. hard dark-brown wood of any of various walnut trees; used especially for furniture and paneling\nn. any of various trees of the genus Juglans,n. 胡桃\n[机] 胡桃木
walnut blight,,[网络] 核桃枯萎
Walnut Creek,,核桃溪市（美国加州）
walnut family,, [医]胡桃科
walnut oil,, 胡桃油（可用作油画颜料结合剂）
walnut parting,,[机] 胡桃木离模粉
walnut tree,, 核桃树胡桃树
walnuts,n. nut of any of various walnut trees having a wrinkled two-lobed seed with a hard shell\nn. hard dark-brown wood of any of various walnut trees; used especially for furniture and paneling\nn. any of various trees of the genus Juglans,n. 胡桃（树）( walnut的复数形式 ); 胡桃木
walp,,abbr. write ahead log protocol 向前写记录协议
walpole,n. English writer and historian; son of Sir Robert Walpole (1717-1797)\nn. Englishman and Whig statesman who (under George I) was effectively the first British prime minister (1676-1745),n. 沃波尔（姓氏）
walpurgis,,abbr. Walpurgis Night 沃普尔吉斯之夜（芬兰和瑞典的4月30日）
Walpurgis Night,,"五朔节前夕（根据德国神话, 4月30日夜晚魔女们和恶魔在一起欢笑）"
Walpurgisnacht,,<德> n.= Walpurgis Night
walpurgite,,砷铀铋矿
walrath,, [人名] 沃尔拉思
walrond,, [人名] [英格兰人姓氏] 沃尔龙德 Waldron的变体
walrus,n. either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,n. 海象
walrus moustache,,"n. 海象胡子, 两端下垂的胡子"
walrus mustache,,[网络] 海象胡子
walruses,n. either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,n. 海象( walrus的复数形式 )
wals,,abbr. World Association of Law Students 世界法科学生协会
Walsall,,沃尔索耳[英国英格兰中部城市]
walsdorf,, [地名] [德国] 瓦尔斯多夫
walsenburg,, [地名] [美国] 沃尔森堡
walser,,n. [姓氏]瓦尔泽; [人名] 沃尔泽
walsh,,n. 沃尔什（姓氏）
Walsh transform,,[计] 沃尔什变换
Walsh-Hadamard transformation,,[计] 沃尔什-哈达马德变换
Walsham,,n. (Walsham)人名；(英)沃尔沙姆
walshe,, [人名] [英格兰人姓氏] 沃尔什 Walsh的变体
WALSINGHAM,,n. (Walsingham)人名；(英)沃尔辛厄姆
walster,, [人名] 沃尔斯特
walston,, [人名] 沃尔斯顿
Walt,,n. 沃尔特（人名）
Walt Disney,,沃特·迪斯尼
Walt Disney World,,[网络] 迪斯尼世界；迪士尼世界；迪斯尼乐园
Walt Whitman,,惠特曼
Walt Whitman Bridge,,[网络] 沃尔特惠特曼大桥；华特惠特曼桥
walte,, [人名] 沃尔特
Walter,n. German conductor (1876-1962),n. 沃尔特（男子名）
Walter Bagehot,,沃尔特·白芝浩
Walter de la Mare,,[网络] 沃尔特•德拉梅尔；沃尔特·德·拉马雷；则有玛尔
Walter Elias Disney,,[网络] 迪士尼；华特迪士尼；华德迪士尼
Walter Gropius,,[网络] 格罗皮乌斯；格罗佩斯；沃尔特·格罗皮乌斯
Walter Hess,,[网络] 赫斯；黑斯；贺斯
Walter John de la Mare,,[网络] 沃尔特·约翰·德拉马雷
Walter Lippmann,,李普曼
Walter Mitty,,n. 幻想多彩生活的人\n[网络] 有幻想症的人；米蒂；华特米蒂
Walter Mittyish,,"Walter, Mitty的变形"
Walter Piston,,[网络] 皮斯顿；华特皮斯顿；瓦尔特·辟斯顿
Walter Ralegh,,[网络] 拉雷
Walter Raleigh,,[网络] 雷利；罗利；拉雷
Walter Reed,,[网络] 华特里德；沃尔特里德；沃尔特里德医院
Walter Rudolf Hess,,[网络] 沃尔特·鲁道夫·赫斯；赫思；瑞士生理学家赫斯
Walter Scott,,[网络] 司各特；沃尔特·司各特；史考特
Walter William Skeat,,[网络] 沃尔特·威廉·斯凯特
Walter's bromide test,,[医] 华尔特氏溴化物试验(血脑障壁测验)
Walter's nerve,,[医] 华尔特氏神经(内脏最下神经至肾丛的支)
walterboro,, [地名] [美国] 沃尔特伯勒
Walters,n German conductor (1876-1962),n. 沃尔特斯（姓）
walthall,, [人名] 沃索尔; [地名] [美国] 沃尔索尔
waltham,,n. 沃尔瑟姆（英国一城市）
Waltham Forest,,沃尔瑟姆福雷斯特（英国伦敦的行政区）
Walthamstow,,n. 沃尔瑟姆斯托 (英国国会选区)
Walthard's cell rests,,[医] 瓦耳塔德氏细胞残余(卵巢上皮小岛)
Walthard's inclusions,,[医] 瓦耳塔德氏包涵物
Walthard's islets,,[医] 瓦耳塔德氏小岛(卵巢上皮小岛)
walther,,n. 沃尔特（男子名）
Walther Hermann Nernst,,[网络] 能斯脱；能斯特；能士特
Walther Richard Rudolf Hess,,[网络] 瓦尔特理查德·鲁道夫·赫斯
Walther's arteriosonervous plexus,,[医] 海绵丛
Walther's canal,,[医] 瓦尔特氏管(舌下腺小管)
Walther's duct,,[医] 瓦尔特氏管(舌下腺小管)
Walther's ducts,,"[医] 瓦尔特氏管, 舌下腺小管"
Walther's ganglia,,"[医] 瓦尔特氏神经节, 尾神经节, 奇神经节"
Walther's oblique ligament,,[医] 瓦尔特氏斜韧带(距腓后韧带)
Walther's oblique ligaments,,"[医] 瓦尔特氏斜韧带, 距腓后韧带"
Waltheria americana L.,,[医] 蛇婆子
Waltheria L.,,[医] 蛇婆子属
waltherite,,砷铀铋矿
walthill,, [地名] [美国] 沃尔特希尔
waltman,, [人名] 沃尔特曼; [地名] [美国] 沃尔特曼
walton,n. English composer (1902-1983)\nn. English writer remember for his treatise on fishing (1593-1683)\nn. Irish physicist who (with Sir John Cockcroft in 1931) first split an atom (1903-1995),n. 沃尔顿（男子姓氏）
Walton operation,,[医] 华尔顿氏手术(葫芦胃手术)
Walton's law,,"[医] 华尔顿氏定律, 互比定律"
walts,, [人名] 沃尔茨
walty,"a. Liable to roll over; crank; as, a walty ship.","a. <古>(船)易倾侧的,易横倾的"
waltz,n. music composed in triple time for waltzing\nn. a ballroom dance in triple time with a strong accent on the first beat\nv. dance a waltz,"n. 华尔兹舞, 圆舞曲\na. 华尔兹舞的, 圆舞曲的\nvi. 跳华尔兹舞, 轻快地走动\nvt. 与...跳华尔兹舞, 硬拖"
waltz around,,[网络] 华尔兹周围
waltz through,,顺利地通过
waltzed,imp. & p. p. of Waltz,"v. 与…跳华尔兹舞( waltz的过去式和过去分词 ); 强拉, 硬拖; 轻快地走动; 旋转"
waltzer,n. A person who waltzes.,n. 跳华尔兹舞的人; 行驶的路程
waltzers,plural of waltzer\nn. A person who waltzes.,(waltzer 的复数) n. 跳华尔兹舞的人; 行驶的路程
waltzes,n an assured victory (especially in an election)\nn music composed in triple time for waltzing\nn a ballroom dance in triple time with a strong accent on the first beat\nv dance a waltz,"n. 华尔兹舞( waltz的名词复数 ); 华尔兹舞曲\nv. 与…跳华尔兹舞( waltz的第三人称单数 ); 强拉, 硬拖; 轻快地走动; 旋转"
waltzing,p. pr. & vb. n. of Waltz,"v. 与…跳华尔兹舞( waltz的现在分词 ); 强拉, 硬拖; 轻快地走动; 旋转"
waluewite,,绿脆云母
Walvis Bay,,沃尔维斯湾（在纳米比亚西岸附近）
walw,,"鞭痕,条纹,鞭打"
Walworth,,n. (Walworth)人名；(英)沃尔沃思
walwyn,, [人名] 沃尔温
waly,interj. An exclamation of grief.,interj. 天啊![表示忧伤的感叹词]
walz,, [人名] 沃尔兹
walzer,,n. (Walzer)人名；(德)瓦尔策；(英)沃尔泽
wam,,abbr. walk-around money 闲钱; wife and mother 妻子和母亲; weighted average maturity 加权的平均到期日; words a minute 每分钟字数
wamba,, [地名] [刚果民主共和国、肯尼亚、尼日利亚、西班牙] 万巴
wambach,, [人名] 万巴赫
wamble,v move unsteadily or with a weaving or rolling motion,"晕, 摇摆[幌]"
wambled,v move unsteadily or with a weaving or rolling motion,"v. 晕, 摇摆[幌]( wamble的过去分词 )"
wambles,v move unsteadily or with a weaving or rolling motion,乳毒病
wambling,v move unsteadily or with a weaving or rolling motion,"v. 晕, 摇摆[幌]( wamble的现在分词 )"
wame,,"肚子, 腹部"
wamena,, [地名] [印度尼西亚] 瓦梅纳
wamoscope,,"行波示波管, 调波示波器"
wamp,n. The common American eider.,abbr. Wire Antenna Modelling Program 有线天线建模程序
Wampanoag,n a member of the Algonquian people of Rhode Island and Massachusetts who greeted the Pilgrims,n. 万帕诺亚格人
wampanoags,,n. 万帕诺亚格人( Wampanoag的名词复数 )
wampee,n American plant having spikes of blue flowers and growing in shallow water of streams and ponds,"n. 黄皮, 黄皮果"
wampish,,"v. <苏格兰>(使)波动,(使)起伏,(使) 前后摇摆,使晃动"
wampler,, [人名] 万普勒
wampum,n. small cylindrical beads made from polished shells and fashioned into strings or belts; used by certain Native American peoples as jewelry or currency,"n. 贝壳念珠, <美俚>金钱"
Wampumpeag,n small cylindrical beads made from polished shells and fashioned into strings or belts; used by certain Native American peoples as jewelry or currency,n. ( 尤指不是以更值钱的黑色或深紫色贝壳串成的)白贝壳串珠
wampus,,n. <美> 开襟绒线衫
wams,, [医][=World Association of Military Surgeons]世界军医协会
wamser,, [人名] 瓦姆泽
wamsley,, [人名] 瓦姆斯利
wamu,,abbr. West African Monetary Union 西非货币联盟
wan,v. become pale and sickly\ns. lacking vitality as from weariness or illness or unhappiness,"a. 苍白的, 无血色的, 病态的, 暗淡的\nv. (使)变苍白\n[计] 广域网"
wana,,n. 歌曲名（仓木麻衣演唱）
Wanamaker,n United States businessman whose business grew into one of the first department stores (1838-1922),沃纳梅克(姓氏)
wanamassa,, [地名] [美国] 沃纳马萨
wananchi,,"[复]<斯瓦希里> n.[总称](肯尼亚及坦桑尼亚本土的)当地工人,劳动群众"
wanatah,, [地名] [美国] 沃纳塔
wanax,,"n. [亦作W-](希腊古城迈锡尼或克里特岛的)国王,统治者"
wanchai,,n. 湾仔（香港地区）
wanchese,, [地名] [美国] 旺奇斯
wand,n. a rod used by a magician or water diviner\nn. a thin supple twig or rod,"n. 棒, 棍, 杖"
WANDA,,n. 旺达(f.)
Wanda Landowska,,[网络] 兰多芙斯卡；兰朵夫丝卡；旺达·兰多芙丝卡
Wanda Sykes,"A great stand-up comic who performed at the White House correspondents dinner in 2009\n> Wanda Sykes on [Rush Limbaugh]:\n> ""Rush says he wants Obama to fail, thats the same as saying he wants America to fail, that's like treason, it's the same thing al-Qaeda is saying, I think Rush was the 20th hijacker, but he was strung out on [oxycontin] and missed his flight.""\n",
Wandala,,[网络] 万达拉
wander,v. go via an indirect route or at no set pace,"vi. 游荡, 漫步, 徘徊, 迷路, 离题, 蜿蜒\nvt. 在...漫游"
wander about,,"漫步, 徘徊"
wander from,,离题
wander from proper conduct,,行为不正派
wander from the point,,离题
wander from the right path,,"偏离正道,行为出轨"
wander from the subject,,离题
wander round in circles,,兜圈子
wander through,,"沿着…游荡,徘徊穿过…,漫游…"
wandered,imp. & p. p. of Wander,v. 漫游( wander的过去式和过去分词 ); 走神; 神志恍惚; （思想）开小差
wanderer,n. someone who leads a wandering unsettled life,"n. 漫游者, 流浪者, 徘徊者"
wanderers,n. someone who leads a wandering unsettled life\nn. a computer program that prowls the internet looking for publicly accessible resources that can be added to a database; the database can then be searched with a search engine,"n. 游荡、漫游的人, 各处走动的动物( wanderer的复数形式 )"
wandering,n. travelling about without any clear destination,"a. 漫游的, 徘徊的, 流浪的, 蜿蜒的\nn. 闲逛, 流浪, 离题, 胡言乱语"
wandering abscess,,[医] 游走性脓肿
wandering albatross,,n. 漂泊信天翁
wandering arthritis,,[医] 游走性关节炎
wandering bone,,"[医] 游走骨, 浮骨"
wandering cells,,[医] 游走细胞
wandering edema,,"[医] 游动性水肿, 血管神经性水肿"
wandering erysipelas,,[医] 游走性丹毒
wandering gallbladder,,[医] 游动胆囊
wandering goiter,,"[医] 游动性甲状腺肿, 移动性甲状腺肿"
wandering heart,,[医] 游动心
wandering histiocytes,,[医] 游走组织细胞
wandering impulsion,,[医] 神游[症]
wandering in the wilderness,,a. 在野的
Wandering Jew,,[植] 白花紫露草；永世流浪的犹太人
wandering kidney,,"[医] 游动肾, 游走肾"
wandering nerve,, 迷走神经
wandering organs,,[医] 游动器官
wandering pacemaker,,[医] 移动性起搏点
wandering pain,,"[医] 游走性痛, 移行痛"
wandering pneumonia,,"[医] 游走性肺炎, 移行性肺炎"
wandering rash,,[医] 地图样舌
wandering spleen,,[医] 游动脾
wandering teeth,,"[医] 游走牙, 移位牙"
wanderingly,adv. In a wandering manner.,"adv. 徘徊地, 流浪地"
wanderings,"n travelling about without any clear destination\nv move about aimlessly or without any destination, often in search of food or employment\nv be sexually unfaithful to one's partner in marriage\nv go via an indirect route or at no set pace\nv to move or cause to move in a sinuous, spiral, or circular course\nv lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking",n. 漫游；流浪；漂泊
Wanderjahr,,<德> n.(手艺工人在外流动干活学习的)漫游年
wanderlust,n. very strong or irresistible impulse to travel,"n. 漫游癖, 流浪癖"
wanderoo,"n. A large monkey (Macacus silenus) native of Malabar. It is\n   black, or nearly so, but has a long white or gray beard encircling the\n   face. Called also maha, silenus, neelbhunder, lion-tailed baboon, and\n   great wanderoo.","n. 紫脸叶猴, 狮尾猴"
wanders,"v move about aimlessly or without any destination, often in search of food or employment\nv be sexually unfaithful to one's partner in marriage\nv go via an indirect route or at no set pace\nv to move or cause to move in a sinuous, spiral, or circular course\nv lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking",v. 漫游( wander的第三人称单数 ); 走神; 神志恍惚; （思想）开小差
wanderyear,,<德> n.(手艺工人在外流动干活学习的)漫游年
wandflower,,[网络] 三色魔杖花；天使钓竿
wandi,, [地名] [乌干达] 万迪
wanding,,读磁卡过程; 读条形码
wandle,,"[苏]柔软的, 易弯的"
wando,, [地名] [巴布亚新几内、美国] 万多; [地名] [韩国] 莞岛
wandoo,,n. [植](澳大利亚西部产的)鞣桉[土著语]
